Publication Number,patent_id,cleaned_claim
US4700984,4700984,"1. A construction of a body of a motor vehicle, having a side door hinge mechanism comprising: a pair of rotary center shafts on the side of a side door, supported in a manner to be spaced apart from each other in the generally horizontal direction on an end face of the side door on the side of a rocking proximal end thereof, a pair of rotary center shafts on the side of a vehicle body, supported in a manner to be spaced apart from each other in the generally horizontal direction on a surface disposed outwardly in the widthwise direction of the vehicle body on the side of the vehicle body and adjacent to said end face, a first arm rotatably connected at opposite ends thereof to the rotary center shafts at one side, disposed outwardly in the widthwise direction of the vehicle body on the sides of the vehicle body and the side door, a second arm rotatably connected at opposite ends thereof to the rotary center shafts on the sides of the vehicle body and the door; and a rear end portion of a front side fender is located at a position adjacent to and in front of the forward end of the side door; wherein a portion of an end face of the side door, disposed outwardly in the widthwise direction of the side door is extended forward from an end face body to a position disposed outwardly of the rotary center shafts on the side of the vehicle body, along the outer surface of the side door, to thereby form an extension for covering the outer surface of the side door hinge mechanism."
US5033236,5033236,"9. A motor vehicle door connected by hinges with a passenger compartment, said door including an outer door assembly with force inlead structure in positive contact with pillar structure of the passenger compartment adjoining the motor vehicle door and an integrated, lattice-type support frame that includes a tension and compression strip and that receives a window lifter, said support frame being mounted in said outer door assembly with said force inlead structure receiving the connecting ends of said tension and compression strip of said support frame and articulated to adapter structure connected with said passenger compartment pillar structure."
US5033236,5033236,"1. Motor vehicle door comprising an outer door assembly, hinge structure secured to said outer door assembly for pivotally attaching the outer door assembly to the passenger compartment of the motor vehicle and force inlead structure secured to said outer door assembly, said force inlead structure being in positive contact with areas of the passenger compartments to either side of the motor vehicle door, and a support frame in the form of a lattice integrated into said outer door assembly, said support frame said support frame including an upper support member running lengthwise of said support frame, a tension and compression support member running lengthwise of said support frame, spaced guide rails connected to said support members, said guide rails being components of a window lifter system and serving to guide a window pane disposed in the motor vehicle door and forming a boundary of said support frame facing the interior of the motor vehicle, at least one of said support members being connected at its connecting ends with said force inlead structure, said support frame being disposed in the area between said window pane of the motor vehicle door and said outer door assembly in such manner that said support frame directly receives the impact forces following a lateral impact."
US5056847,5056847,"13. A truck or the like, including, in combination: a vehicle frame, an enclosed cab mounted on said frame, and a body having an opening said body having a roof, floor, side and end walls, said opening being in the rearward end wall of said body; guide means in said truck positioned alongside said opening and continuing inwardly in said body said guide means including spaced tracks extending vertically along said opening and curving to extend horizontally immediately beneath said roof and adjacent said sides; closure means operably connected to said guide means for movement along said guide means to selectively close or open said opening said closure means is a multipaneled foldable door, said door in said fully closed position being vertical, and in said fully open position being generally horizontally positioned immediately beneath said roof; drive means mounted within said body along one of said sides and immediately beneath said roof and interconnected with said guide means to automatically move said closure means between a fully opened and fully closed position; and control means for selectively operating said drive means, said drive means comprising a low profile reversible motor, said motor being capable of utilizing electric energy generated by the truck or one or more storage batteries."
US5056847,5056847,"20. A power driven door operating mechanism for a vehicle having a vehicle frame, an enclosed cab mounted on said frame and an enclosed body mounted on said frame rearward of said cab, said body having a roof, floor, spaced sides and front and rear ends, the rear end of said body having means defining an opening essentially the size of said end and a foldable sliding door mounted on guide tracks whereby the door is movable between a fully closed position where said door is vertical and a fully open position wherein said door is essentially horizontally positioned adjacent to and beneath the roof, the operating mechanism comprising, in combination: a low profile motor electrically interconnected to the battery and electrical generator of the truck, said motor including a drive shaft rotatable in a clockwise or counterclockwise direction, said motor being removably mounted to the forward end of one of said guide tracks adjacent the roof of said body; a drive wheel secured to said drive shaft; an idler wheel secured to said body adjacent the roof at a rearward point adjacent said one of said guide tracks and in alignment with said drive wheel; an endless loop mounted about said wheels; link means interconnecting said loop, said one guide track and said door whereby movement of said loop urges said door between an open and closed position; and control means for activating said motor to move said loop and interconnected door."
US5056847,5056847,"1. A power driven vehicular utility door operating mechanism for an enclosed container having a floor, ceiling, opposed sides, end and open rear selectively closed by a door, the door having multiple panels hinged together and moveable in opposed tracks, the tracks having a vertical section extending from the floor toward the ceiling along each side of the opening, a horizontal section extending along the upper edge of the sides of the container from the open end toward the front end, and a curved section interconnecting the vertical and horizontal sections whereby the door is moveable from a vertical position to fully close the opening to a generally horizontal position immediately beneath the ceiling to open the rear end, the mechanism comprising, in combination: a reversible motor positioned adjacent one of said sides and in general alignment with the horizontal track section associated therewith, said motor including a drive shaft and a drive sprocket fixed to said drive shaft; an idler pulley mounted in the same plane as said sprocket, said pulley being mounted at the upper end corner of said container adjacent said curved track section attached to said one of said horizontal track sections; drive means cooperatively engaged with said drive sprocket and idler pulley forming an endless loop, said drive means moving in clockwise or counterclockwise direction depending on the direction movement of said motor drive sprocket; link means interconnected to said drive means and said door, whereby movement of said drive means in one direction will raise said door selectively between a fully closed position to a fully open position and movement of said drive means in the other direction opposite said one direction will move said door from a fully raised open position to a fully closed position; and control means for selectively actuating said motor to raise and lower said door to said fully open or closed positions or positions intermediate thereto."
US20210172215,20210172215,
US11722077,11722077,"1. A motor vehicle having at least one vehicle side, on each of which a front door and a rear door are provided, wherein in the rear door an electric motor configured to provide a motorized door function is provided and wherein to operate said motor a control unit is provided, which is connected to the motor via electrical conductor elements configured to transfer a motor current, the control unit being arranged in the front door and configured to also control at least one door function of the front door;
wherein the control unit is configured to adjust a switching rate by which the control unit switches the motor current, as a function of a currently selected receiving frequency of a radio receiver of the motor vehicle."
US11722077,11722077,"9. A door control arrangement for a motor vehicle with at least one vehicle side having a first and a second door, the door control arrangement comprising:
an electric motor configured to provide a motorized door function in the second door,
a control device configured to operate the motor:
connected to the motor via electrical conductor elements configured to transfer a motor current, and
configured to be provided in the first door, and to control at least one door function of the first door;

wherein the control device is configured to adjust a switching rate by which the control device switches the motor current, as a function of a currently selected receiving frequency of a radio receiver of the motor vehicle."
US11722077,11722077,"12. A method for operating an electric motor in a respective rear door of at least one vehicle side of a motor vehicle, wherein on the at least one vehicle side one control unit is provided in a front door of the vehicle side, which controls at least one door function of the front door, the control unit controlling a motor current of the motor in the rear door via electrical conductor elements;
wherein the control unit is configured to adjust a switching rate by which the control unit switches the motor current, as a function of a currently selected receiving frequency of a radio receiver of the motor vehicle."
US5263347,5263347,"1. A remote control locking device for a door of a motor vehicle which comprises: a) a remote transmitter outside of the motor vehicle for transmitting a radio signal; b) a receiver carried within and electrically connected to an electrical system of the motor vehicle for receiving the radio signal from said remote transmitter; c) a piston electrically connected to said receiver and mounted within a door jamb of the motor vehicle adjacent a side of the door; d) a dead bolt plunger axially aligned with and projecting outwardly from said piston for a relative lineal movement between extended and retracted positions upon operating of said remote transmitter, so that said dead bolt plunger can engage with the side to lock the door and disengage from the side to unlock the door; further including immobilizing means for simultaneously immobilizing a door opening mechanism of the door of the motor vehicle; wherein said immobilizing means includes: e) the door opening mechanism being a key operated door lock cylinder in the door, having a tab projecting from its side; and f) a vertical rod mounted within the side of the door to slide therein, said vertical rod having a lower beveled end to contact the distal end of said dead bolt plunger, so that when said dead bolt plunger is in its extended position, said vertical rod will slide upward with an upper end of said vertical rod engaging said tab preventing the door lock cylinder from turning."
US5263347,5263347,"2. A remote control locking device for a door of a motor vehicle which comprises: a) a remote transmitter outside of the motor vehicle for transmitting a radio signal; b) a receiver carried within and electrically connected to an electrical system of the motor vehicle for receiving the radio signal from said remote transmitter; c) a piston electrically connected to said receiver and mounted within a door jamb of the motor vehicle adjacent a side of the door; d) a dead bolt plunger axially aligned with and projecting outwardly from said piston for a relative lineal movement between extended and retracted positions upon operating of said remote transmitter, so that said dead bolt plunger can engage with the side to lock the door and disengage from the side to unlock the door; further including immobilizing means for simultaneously immobilizing a door opening mechanism of the door of the motor vehicle; wherein said immobilizing means includes: the door opening mechanism containing a main linkage lever coupled by rigid links between an inside door handle and an outside door handle in which the main linkage lever is pivoted to the side of the door and has an aperture therethrough, so that when said dead bolt plunger is in its extended position its distal end will enter the structure in the main linkage lever to prevent pivoting of said lever and operation of said door handles."
US9758998,9758998,"15. A motor vehicle door configured for hingedly mounting to the body of a motor vehicle comprising: a door structure having a hinge reinforcement arranged on an interior side of the door structure, the hinge reinforcement including a respective mounting flange section abutting the door structure on at least two opposing outer edges and a force absorption area between the at least two opposing mounting flange sections and situated at a distance from the door structure to define a hollow space there between, the force absorption area supported against the door structure by at least one bushing, wherein the end section of the bushing facing the door structure comprises a radially expanded collar."
US9758998,9758998,"1. A motor vehicle door configured for hingedly mounting to the body of a motor vehicle comprising: a door structure having a hinge reinforcement arranged on an interior side of the door structure, the hinge reinforcement including a respective mounting flange section abutting the door structure on at least two opposing outer edges and a force absorption area between the at least two opposing mounting flange sections, the force absorption area situated at a distance from the door structure to define a hollow space there between and the force absorption area is recessed relative to the door structure to form the hollow space, wherein the hinge reinforcement comprises at least two bushings in the force absorption area that are spaced apart from each other and aligned parallel to each other, and the at least two bushings outwardly extend from the hollow space of the force absorption area."
US6030024,6030024,"18. A motor vehicle door arrangement for closing a door opening in an outside wall of a motor vehicle, comprising at least one door panel which in a closed position assumes an essentially flush position with the outside wall and a pivoting drive having a pivoting lever for swinging the door panel into an open position in which the door opening is at least partially exposed, the door panel assuming a position roughly parallel to said outside wall; wherein said pivoting drive comprises a linkage mechanism having means for causing a forward edge of the door panel, which is forward in a closing direction, to execute a movement by which said forward edge fits from the inside behind an associated part at an edge of the outside wall in the closed position, wherein said pivoting lever is connected between an axis of rotation which is fixed relative to the vehicle and an axis of rotation that is fixed at the door panel, and wherein said linkage mechanism is connected to move about the fixed axis of rotation of the pivot lever with rotation of the pivoting lever."
US6030024,6030024,"1. A motor vehicle door arrangement for closing a door opening in an outside wall of a motor vehicle, comprising at least one door panel which in a closed position assumes an essentially flush position with the outside wall and a pivoting drive having a pivoting lever for swinging the door panel into an open position in which the door opening is at least partially exposed, the door panel assuming a position roughly parallel to said outside wall; wherein said pivoting drive comprises a linkage mechanism having means for causing a forward edge of the door panel, which is forward in a closing direction, to execute a movement by which said forward edge fits from the inside behind an associated part at an edge of the outside wall in the closed position, wherein said pivoting lever is connected between an axis of rotation which is fixed relative to the vehicle and an axis of rotation that is fixed at the door panel, and wherein said linkage mechanism is connected to the pivoting lever and to an axis of rotation on the door panel which is displaced from the axis of rotation on the door panel to which the pivoting lever is connected."
US6030024,6030024,"6. Motor vehicle door arrangement for closing a door opening in an outside wall of a motor vehicle, comprising at least one door panel which in a closed position assumes an essentially flush position with the outside wall and a pivoting drive having a pivoting lever for swinging the door panel into an open position in which the door opening is at least partially exposed, the door panel assuming a position roughly parallel to said outside wall; wherein said pivoting drive comprises a linkage mechanism having means for causing a forward edge of the door panel, which is forward in a closing direction, to execute a movement by which said forward edge fits from the inside behind an associated part at an edge of the outside wall in the closed position; wherein said pivoting lever is driven via a rotary shaft which also at least indirectly drives said linkage mechanism; and wherein the linkage mechanism has an auxiliary pivoting lever coupled near a front edge of the door panel, a connecting rod which is connected to the auxiliary pivoting lever and which is pivotable around an axis of rotation that is fixed relative to the vehicle, and a coupler joining the connecting rod to a joint on the pivoting lever."
US20060055184,20060055184,
US9573446,9573446,"1. A method for controlling a swing door actuation system for moving a vehicular swing door relative to a vehicle body, wherein the actuation system includes an extensible member connected to the swing door or the vehicle body, a motor, a clutch operatively connected to the motor and the extensible member, comprising the steps of: engaging the clutch to couple the motor to the extensible member and move the extensible member in response to an indication that a user wishes to initiate a powered opening or powered closing of the swing door; disengaging the clutch to uncouple the motor from the extensible member in response to an indication that the user wishes to manually move the swing door; sending a signal from an actuated manual movement switch to a control system providing the indication that the user wishes to manually move the swing door, wherein the control system is configured to disengage the clutch in response to receipt of the signal from the actuated manual movement switch; sensing movement of the extensible member at a time when the motor is unpowered and sending a signal from a position sensor to the control system indicating that the user wishes to manually move the swing door in response to movement of the extensible member; and sending a manual movement signal to the control system in response to sensing that the motor is urged at a speed greater than a threshold design speed."
US9573446,9573446,"8. A method for controlling a swing door actuation system for moving a vehicular swing door relative to a vehicle body, wherein the actuation system includes an extensible member connected to the swing door or the vehicle body, a motor, and a clutch operatively connected to the motor and the extensible member, comprising the steps of: operatively connecting the motor to the extensible member using the clutch without the application of electrical power to the clutch, operatively disconnecting the motor from the extensible member using the clutch with the application of electrical power to the clutch, and preventing movement of the extensible member and the swing door using the clutch when the swing door is exposed to an external torque that is less than a selected value and the motor is stopped."
US9573446,9573446,"15. A method for controlling a swing door actuation system for moving a vehicular swing door relative to a vehicle body, wherein the actuation system includes an extensible member connected to the swing door or the vehicle body, a motor, and a clutch operatively connected to the motor and the extensible member, comprising the steps of: engaging the clutch to operatively connect the motor to the extensible member, disengaging the clutch to operatively disconnect the motor from the extensible member, the clutch has a selected slip torque value that prevents movement of the swing door when the swing door is exposed to an external torque that is less than the selected slip torque value and the motor is stopped; engaging the clutch and drive the motor to move the swing door in response to an indication that a user wishes to initiate a powered opening or powered closing of the swing door; disengaging the clutch in response to the indication that the user wishes to manually move the swing door; sending a signal from an actuated manual movement switch to a control system providing the indication that the user wishes to manually move the swing door, wherein the control system is configured to disengage the clutch in response to receipt of the signal from the actuated manual movement switch; sensing movement of the extensible member at a time when the motor is unpowered and sending a signal from a position sensor to the control system indicating that the user wishes to manually move the swing door in response to movement of the extensible member; and sending a manual movement signal to the control system in response to sensing that the motor is urged at a speed greater than a threshold design speed."
US9573446,9573446,"16. A method for controlling a swing door actuation system for moving a vehicular swing door relative to a vehicle body, wherein the actuation system includes an extensible member connected to the swing door or the vehicle body, a motor, and a clutch operatively connected to the motor and the extensible member, comprising the steps of: operatively connecting the clutch and the motor; operatively connecting the clutch and the extensible member; operatively connecting the motor to the extensible member by engaging the clutch; operatively disconnecting the motor from the extensible member by disengaging the clutch; preventing movement of the door using the clutch when the swing door is exposed to an external torque that is less than a selected value and the motor is stopped; driving the motor to move the swing door in response to indication that a user wishes to initiate a powered opening or powered closing of the swing door by engaging the clutch and disengaging the clutch in response to an indication that the user wishes to manually move the swing door; and providing manual movement signals in response to sensing that the motor is urged at a speed greater than a threshold design speed."
US9573446,9573446,"24. A method for controlling a swing door actuation system for moving a vehicular swing door relative to a vehicle body, wherein the actuation system includes an extensible member connected to the swing door or the vehicle body, a motor, a clutch operatively connected to the motor and the extensible member, comprising the steps of: engaging the clutch to couple the motor to the extensible member and move the extensible member in response to an indication that a user wishes to initiate a powered opening or powered closing of the swing door; disengaging the clutch to uncouple the motor from the extensible member in response to an indication that the user wishes to manually move the swing door; sending a signal from an actuated manual movement switch to a control system providing the indication that the user wishes to manually move the swing door, wherein the control system is configured to disengage the clutch in response to receipt of the signal from the actuated manual movement switch; sensing movement of the extensible member at a time when the motor is unpowered and sending a signal from a position sensor to the control system indicating that the user wishes to manually move the swing door in response to movement of the extensible member; and sending a manual movement signal to the control system in response to sensing that the motor is urged at a speed greater than a threshold design speed."
US6817063,6817063,"1. A double pivot door hinge for a door of a motor vehicle comprising: a first hinge assembly, the first hinge assembly including a first door connector for connecting to the door of the motor vehicle, a first pillar connector for connecting to a door pillar or body of the motor vehicle, and a first link rotatably connected to the fist door connector at a first door-side pivot and rotatably connected to the first pillar connector at a first pillar-side pivot; a second hinge assembly, the second hinge assembly including a second door connector for connecting to the door and a second pillar connector for connecting to the door pillar or the body, and a second link rotatably connected to the second door connector at a second door-side pivot and rotatably connected to the second pillar connector at a second pillar-side pivot; and a connecting member rigidly joining the first and second hinge assemblies; wherein a rotation of the first link at the first door-side pivot is resisted by a first braking resistance at the first door-side pivot and a rotation of the first link at the first pillar-side pivot is resisted by a second braking resistance at the first pillar-side pivot, the second braking resistance being less than the first braking resistance during opening."
US6817063,6817063,"16. A double pivot door hinge for a door of a motor vehicle comprising: a first hinge assembly, the first hinge assembly including a first door connector for connecting to the door of the motor vehicle, a first pillar connector for connecting to a door pillar or body of the motor vehicle, and a first link rotatably connected to the first door connector at a first door-side pivot and rotatably connected to the first pillar connector at a first pillar-side pivot; a second hinge assembly, the second hinge assembly including a second door connector for connecting to the door and a second pillar connector for connecting to the door pillar or the body, and a second link rotatably connected to the second door connector at a second door-side pivot and rotatably connected to the second pillar connector at a second pillar-side pivot; and a connecting member rigidly joining the first and second hinge assemblies; the first door connector being moveable from a closed position, through an intermediate position, to a fully open position, the first link rotating with respect to the first pillar connector at the first pillar-side pivot when the first door connector is moved from the closed position to the intermediate position and the first link rotating with respect to the first door connector at the first door-side pivot when the first door connector is moved from the intermediate position to the fully opened position, wherein the first link remains rotationally stationary with respect to the first door connector when the first door connector is moved from the closed position to the intermediate position and wherein the first link remains rotationally stationary with respect to the first pillar connector when the first door connector is moved from the intermediate position to the fully opened position."
US6817063,6817063,"29. A double pivot door hinge for a door of a motor vehicle, comprising: a first door connector for connecting to a door of the motor vehicle; a first pillar connector for connecting to a door pillar or body of the motor vehicle; a second door connector for connecting to the door; a second pillar connector for connecting to the door pillar or the body; a first link rotatably connected to the first door connector at a first door-side pivot and rotatably connected to the first pillar connector at a first pillar-side pivot; and a second link rotatably connected to the second door connector at a second door-side pivot and rotatably connected to the second pillar connector at a second pillar-side pivot, wherein the first and second links are rigidly joined to each other; the first door connector being moveable from a closed position through an intermediate position to a fully open position, the first pillar-side pivot rotating when the first door connector is moved from the closed position to the intermediate position and the first door-side pivot rotating when the first door connector is moved from the intermediate position to the fully opened position; and wherein the first door-side pivot remains rotationally stationary when the first door connector is moved from the closed position to the intermediate position and wherein the first door pillar-side pivot remains rotationally stationary when the first door connector is moved from the intermediate position to the fully opened position."
US6817063,6817063,"42. A method for providing a hinge to open a vehicle door comprising the steps of: providing a first pivot to connect the vehicle door and a first link; providing a second pivot to connect the first link to a vehicle body; providing a third pivot to connect the vehicle door and a second link, the third pivot being aligned with the first pivot at a door-side axis of rotation; providing a fourth pivot to connect the second link to the vehicle body, the fourth pivot being aligned with the second pivot at a pillar-side axis of rotation; providing a connecting member to rigidly join the first and second links; permitting the second and fourth pivots to rotate when the door opens from a closed position to an intermediate position, while keeping the first and third pivots rotationally stationary, and permitting the first and third pivots to rotate when the door opens from the intermediate position to a fully open position while the second and fourth pivots remain rotationally stationary."
US20030230910,20030230910,
US6913308,6913308,1. A motor vehicle comprising: a vehicle body having at least one door opening and a pillar adjacent a rear end of said at least one door opening; a forward facing door disposed in said at least one door opening having a forward end and a rear end; and a single hinge connected to said rear end of said forward facing door and connected to said pillar of said vehicle body to hidden from view externally of said vehicle body and allow said forward end of said forward facing door to have solely rotational movement to open and close at least a portion of said at least one door opening in said vehicle body.
US6913308,6913308,"8. A motor vehicle comprising: a vehicle body having at least one door opening; a rearward facing rear door disposed in said at least one door opening and pivotally connected to said vehicle body for movement between an open position and a closed position; a forward facing rear door disposed in said at least one door opening and pivotally connected to said vehicle body for movement between an open position and a closed position, said rearward facing rear door and said forward facing rear door being joined pillarlessly together; a rocker at a bottom portion of said at least one door opening; a roof rail at a top portion of said at least one door opening; a pillar extending between said roof rail and said rocker; and a hinge box connected to said pillar including a single hinge connected to a rear end of said forward facing rear door to allow a forward end of said forward facing rear door to open and close at least a portion of said at least one door opening in said vehicle body."
US6913308,6913308,"17. A motor vehicle comprising: a vehicle body having at least one door opening; a rearward facing rear door pivotally connected to said vehicle body between an open position and a closed position; a forward facing rear door pivotally connected to said vehicle body between an open position and a closed position, said rearward facing rear door and said forward facing rear door being joined pillarlessly together; a latch member on said forward facing rear door for engagement and disengagement with a latch on said rearward facing rear door; a rocker at a bottom portion of said door opening; a roof rail at a top portion of said door opening; a wheel housing connected to said rocker; a C pillar extending upwardly to said roof rail and downwardly to said wheel housing to form a box-like structure; a body side reinforcement extending longitudinally and connected to said C pillar and for connection to a D pillar of said vehicle body; and a hinge box connected to said C pillar including a single hinge connected to a rear end of said forward facing rear door to allow a forward end of said forward facing rear door to open and close at least a portion of said at least one door opening in said vehicle body."
US20080258495,20080258495,
US20220186533,20220186533,
US12077997,12077997,"1. A gesture access system for a motor vehicle having a powered door, the gesture access system comprising:
at least one wireless signal transceiver configured to be mounted to the motor vehicle, the at least one wireless signal transceiver responsive to activation signals to emit wireless signals outwardly away from the motor vehicle, and to produce wireless detection signals, the wireless detection signals including at least one reflected wireless signal upon reflection of at least one of the emitted wireless signals by an object toward and detected by the at least one wireless signal transceiver,
a motor responsive to motor control signals to open the power door,
at least one processor, and
at least one memory having instructions stored therein executable by the at least one processor to cause the at least one processor to (i) process the activation and wireless detection signals to determine whether an object is following a predefined gesture, (ii) upon determining that the object is following the predefined gesture, control an unlocking actuator to unlock and unlatch the powered door, (iii) following unlocking of the powered door, monitor and process the activation and wireless detection signals to determine object parameters including a speed of movement of the object away from, and a distance of the object relative to, the powered door, (iv) determine a door opening speed based on the object parameters, and (v) control the motor control signals to open the powered door at the determined door opening speed."
US12077997,12077997,"14. A gesture access system for a motor vehicle having a powered door, the gesture access system comprising:
at least one wireless signal transceiver configured to be mounted to the motor vehicle, the at least one wireless signal transceiver responsive to activation signals to emit wireless signals outwardly away from the motor vehicle, and to produce wireless detection signals, the wireless detection signals including at least one reflected wireless signal upon reflection of at least one of the emitted wireless signals by an object toward and detected by the at least one wireless signal transceiver,
a motor responsive to motor control signals to open the power door,
at least one indicator configured to be mounted to the motor vehicle,
at least one processor, and
at least one memory having instructions stored therein executable by the at least one processor to cause the at least one processor to (i) monitor a mobile device status signal produced by a control computer of the motor vehicle or by the at least one processor based on a determination by the control computer or the at least one processor of a proximity, relative to the motor vehicle, of a mobile communication device known to the control computer or to the at least one processor, (ii) in response to the mobile device status signal corresponding to the known mobile communication device being within a perimeter defined about the motor vehicle, process the activation and wireless detection signals to determine whether an object is exhibiting a predefined gesture, (iii) upon determining that the object is exhibiting the predefined gesture, control an unlocking actuator to unlock the powered door, (iv) following unlocking of the powered door, control the motor control signals to open the powered door and activate the at least one indicator according to a door opening indication scheme."
US12077997,12077997,"19. A gesture access system for a motor vehicle having a powered door, the gesture access system comprising:
at least one wireless signal transceiver configured to be mounted to the motor vehicle, the at least one wireless signal transceiver responsive to activation signals to emit wireless signals outwardly away from the motor vehicle, and to produce wireless detection signals, the wireless detection signals including at least one reflected wireless signal upon reflection of at least one of the emitted wireless signals by an object toward and detected by the at least one wireless signal transceiver,
a motor responsive to motor control signals to open the power door,
at least one indicator configured to be mounted to the motor vehicle,
at least one processor, and
at least one memory having instructions stored therein executable by the at least one processor to cause the at least one processor to (i) process the activation and wireless detection signals to determine whether an object is following a predefined walking pattern, (iii) upon determining that the object is following the predefined walking pattern, control an unlocking actuator to unlock the powered door, (iv) following unlocking of the powered door, control the motor control signals to open the powered door and activate the at least one indicator according to a door opening indication scheme."
US20230151673,20230151673,
US20230151666,20230151666,
US12227978,12227978,"6. Method for automatically opening doors in a motor vehicle (10) having a front (12) and a rear side door (14), the method comprising the steps of:
carrying out the method for contactless obstacle detection according to claim 1,
then, when a user initiates an opening of the rear side door (14), automatically opening (S12) the rear side door (14), such that the determined current maximum allowed opening angle (amax) for the rear side door (14) is not exceeded."
US12227978,12227978,"7. System (11) for contactless obstacle detection for a motor vehicle (10) having a front side door (12) and a rear side door (14), the system comprising:
a front door sensor (22) which is designed to detect an opening state of the front side door (12),
a primary obstacle sensor (16) which is provided on the motor vehicle (10) and is configured to monitor an opening region (12o) of the front side door (12), and at least as long as the front side door (12) is closed, to also monitor an opening region (14o) of the rear side door (14),
a data processing unit (24) which is in communication with the front door sensor (22) and the primary obstacle sensor (16) and which is designed to determine a current maximum allowed opening angle (amax) for the rear side door (14) based on an output of a monitoring of the opening region (14o) of the rear side door (14) by the primary obstacle sensor (16), and taking into account a current opening state of the front side door (12), and
a door drive (26) for the rear side door (14) which door drive is in communication with the data processing unit (24)."
US12227978,12227978,"1. Method for contactless obstacle detection for a motor vehicle (10) having a front side door (12) and a rear side door (14), using a single primary obstacle sensor (16) provided on the motor vehicle, the primary obstacle sensor being configured to monitor an opening region (12o) of the front side door (12) and, at least as long as the front side door (12) is closed, also to monitor an opening region (14o) of the rear side door (14),
the method comprising the steps of, performed repeatedly:
determining (S6, S9'; S6, S10) a current maximum allowed opening angle (amax) for the rear side door (14) based on an output of a monitoring of the opening region (14o) of the rear side door (14) by the primary obstacle sensor (16), and taking into account a current opening state of the front side door (12)."
US7193509,7193509,"1. A door system for a motor vehicle, comprising: a door; an environmental sensor configured to detect an obstacle in a vicinity of the motor vehicle; a door sensor configured to output an output signal as a function of an initiation of opening of the door; and a control unit configured to detect an imminent collision between the door and the obstacle as a function of an output signal of the environmental sensor and configured to trigger a warning device to output a warning in response to detection of an imminent collision between the door and the obstacle, the control unit configured to distinguish, during trigger of the warning device, between at least two selectable warning stages as a function of the output signal of the door sensor."
US7193509,7193509,"13. A door system for a motor vehicle including a tailgate, comprising: an environmental sensor configured to detect an obstacle in a surrounding area above the motor vehicle; and a control unit configured to detect an imminent collision between the tailgate and the obstacle if the tailgate is opened as a function of an output signal of the environmental sensor."
US7193509,7193509,"14. A door system for a motor vehicle, comprising: door means; environmental sensing means for detecting an obstacle in a vicinity of the motor vehicle; door sensing means for outputting an output signal as a function of an initiation of opening of the door means; and control means for detecting an imminent collision between the door means and the obstacle as a function of an output signal of the environmental sensing means and for triggering warning means for outputting a warning in response to detection of an imminent collision between the door means and the obstacle, the control means for distinguishing, during trigger of the warning means, between at least two selectable warning stages as a function of the output signal of the door sensing means."
US7193509,7193509,"15. A door system for a motor vehicle including a tailgate, comprising: an environmental sensor configured to detect an obstacle in a surrounding area above the motor vehicle; and a control unit configured to detect an imminent collision between the tailgate and the obstacle if the tailgate is opened as a function of an output signal of the environmental sensor, wherein the tailgate is movable relative to the environmental sensor."
US7193509,7193509,"16. A door system for a motor vehicle including a tailgate, comprising: an environmental sensor configured to detect an obstacle in a surrounding area above the motor vehicle; and a control unit configured to detect an imminent collision between the tailgate and the obstacle if the tailgate is opened as a function of an output signal of the environmental sensor, wherein the environmental sensor is arranged on a roof surface of the motor vehicle."
US9721403,9721403,"1. Safety system ( 10 ) for a motor vehicle door ( 2 ) of a motor vehicle ( 1 ), with an electronic unit ( 15 ), which comprises at least one first ( 11 ) and one second sensor ( 12 ), wherein each sensor ( 11 , 12 ) comprises an own monitoring zone ( 13 , 14 ) at the motor vehicle door ( 2 ), a lock ( 3 ) assembled at the motor vehicle door ( 2 ), that can be brought between a locking position and an unlocking position, and a user-held identifier ( 5 ), which can be brought in data communication with a vehicle-related transceiver unit ( 18 ) for authentication purpose ( 8 ), wherein the electronic unit ( 15 ) is shaped in a way that via at least a defined movement pattern ( 9 ) of the user ( 4 ) within each of the monitoring zones ( 13 , 14 ) a trigger signal ( 6 ) can be generated by the electronic unit ( 15 ), wherein a change of positions of the lock ( 3 ) is possible, wherein based on a positive authentication, both sensors ( 11 , 12 ) are switched on in order to effectively sense the movement pattern ( 9 ), wherein the electronic unit ( 15 ) comprises an evaluation unit ( 17 ) which in dependence of the movement pattern, which sensed by the first ( 11 ) and the second sensor ( 12 ), generates different trigger signals ( 6 ) for vehicle-related actions ( 7 ), and wherein at least one sensor ( 11 , 12 ) can be switched ineffective by the evaluation unit ( 17 )."
